Countries and areas,Region,Income Group,Life Expectancy,Healthy Life Expectancy,Cancer,Suicide,Alcohol Consumption,Road Accidents,Obesity,Malaria,Hypertension,Tuberculosis,Sanitation
Afghanistan,South Asia,Low income,63.2,53.9,35.3,4.1,0.1,15.9,5.5,6.3,40.2,189,16.6
Albania,Europe & Central Asia,Upper middle income,78,69.1,11.4,4.3,5.1,11.7,21.7,-,41.8,17,3.2
Algeria,Middle East & North Africa,Lower middle income,77.1,66.4,13.9,2.5,0.6,20.9,27.4,0,36.2,54,4.1
Andorra,Europe & Central Asia,High income,-,-,-,-,11.1,-,25.6,-,31,2.9,-
Angola,Sub-Saharan Africa,Lower middle income,63.1,54.8,22.2,6.1,6.2,26.1,8.2,254.9,38.7,325,48.9
Antigua and Barbuda,Latin America & Caribbean,High income,76.5,67,17.5,0.4,8.5,0,18.9,-,42.6,4.9,2.5
Argentina,Latin America & Caribbean,Upper middle income,76.6,67.1,15.7,8.4,8,14.1,28.3,-,47.5,30,11.4
Armenia,Europe & Central Asia,Upper middle income,76,67.1,19.9,3.3,5,20,20.2,-,47.3,27,5.8
Australia,East Asia & Pacific,High income,83,70.9,8.6,12.5,10.1,4.9,29,-,29.3,6.5,1.9
Austria,Europe & Central Asia,High income,81.6,70.9,10.4,14.6,12,4.9,20.1,-,33.8,5,2
Azerbaijan,Europe & Central Asia,Upper middle income,71.4,63.6,27.2,4.1,2,6.7,19.9,-,41,63,3.6
Bahamas,Latin America & Caribbean,High income,73.2,64.4,19.9,3.5,4.4,7.7,31.6,-,44.5,12,2.6
Bahrain,Middle East & North Africa,High income,75.8,65.9,16.1,8.9,1.6,5.2,29.8,-,38.7,15,0.8
Bangladesh,South Asia,Lower middle income,74.3,64.3,18.9,3.7,0.1,15.3,3.6,0.5,28.8,221,18.2
Barbados,Latin America & Caribbean,High income,76,67,16,0.6,9.5,8.2,23.1,-,41.8,0.4,7.7
Belarus,Europe & Central Asia,Upper middle income,74.8,66,23.8,21.2,10.9,7.6,24.5,-,49.2,30,1.6
Belgium,Europe & Central Asia,High income,81.4,70.6,10.6,18.3,10.3,5.8,22.1,-,30,8.1,5.3
Belize,Latin America & Caribbean,Upper middle income,74.4,65.3,16.5,7.1,5.7,22.6,24.1,0,38,28,4.3
Benin,Sub-Saharan Africa,Lower middle income,63.4,55.5,22.6,7.8,8.3,26.8,9.6,383.5,31.2,53,60.2
Bhutan,South Asia,Lower middle income,73.1,63.4,18.5,4.6,0.2,16.2,6.4,0.1,43.4,164,15.7
Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,72.1,63.3,17.9,6.2,4.1,21.1,20.2,2.7,28.3,109,14.3
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,76.8,67.2,18.7,10.9,6.4,13.5,17.9,-,44.2,25,1.9
Botswana,Sub-Saharan Africa,Upper middle income,62.2,53.9,27,16.1,8.2,26.4,18.9,0.6,44.1,235,26.8
Brazil,Latin America & Caribbean,Upper middle income,75.9,65.4,15.5,6.9,7.7,16,22.1,3.7,45,48,6.6
Brunei Darussalam,East Asia & Pacific,High income,74.3,65.6,18.5,2.7,0.4,7.5,14.1,-,46.4,61,1.7
Bulgaria,Europe & Central Asia,Upper middle income,75.1,66.3,24.2,9.7,11.9,9.2,25,-,45.2,17,2.9
Burkina Faso,Sub-Saharan Africa,Low income,62.7,54.9,23.9,7.5,9.8,31,5.6,376.8,30.5,45,60.9
Burundi,Sub-Saharan Africa,Low income,63.8,55.6,25,6.2,4.1,35.5,5.4,291.4,34.2,100,53.3
Cabo Verde,Sub-Saharan Africa,Lower middle income,74,64.8,17.4,12.9,6.3,26.8,11.8,0,44.1,35,12.1
Cambodia,East Asia & Pacific,Lower middle income,70.1,61.5,22.5,4.8,8.5,19.6,3.9,1.6,25.7,288,17.1
Cameroon,Sub-Saharan Africa,Lower middle income,62.4,54.5,23.9,9,10.1,30.2,11.4,245.1,36.8,164,47.3
Canada,North America,High income,82.2,71.3,9.6,11.8,9.9,5.3,29.4,-,22.1,5.3,2.3
Central African Republic,Sub-Saharan Africa,Low income,53.1,46.4,36,12.3,2,37.7,7.5,334.7,41.3,540,97
Chad,Sub-Saharan Africa,Low income,59.6,52,22.7,6.4,3.7,32.4,6.1,206.4,37.9,140,99.2
Chile,Latin America & Caribbean,High income,80.7,70,10,9,6.7,14.9,28,-,36.1,16,2.3
China,East Asia & Pacific,Upper middle income,77.4,68.5,15.9,8.1,5.7,17.4,6.2,-,27.3,55,2.2
"China, Hong Kong SAR",East Asia & Pacific,High income,-,-,-,-,-,-,-,-,-,57,-
"China, Macao SAR",East Asia & Pacific,High income,-,-,-,-,-,-,-,-,-,57,-
Colombia,Latin America & Caribbean,Upper middle income,79.3,69,9.7,3.9,4.9,15.4,22.3,9,31,41,3.4
Comoros,Sub-Saharan Africa,Lower middle income,67.4,58.9,20.6,5.4,0.3,26.6,7.8,12.8,33.2,35,43.8
Congo,Sub-Saharan Africa,Low income,64.7,56.2,22.6,6.5,6.4,29.7,9.6,219.3,39.8,370,26.4
Cook Islands,East Asia & Pacific,Not Available,-,-,-,-,10.6,-,55.9,-,42.6,13,-
Costa Rica,Latin America & Caribbean,Upper middle income,80.8,70,9.5,8.1,3.5,14.8,25.7,0.1,37.8,11,2.9
Côte d'Ivoire,Sub-Saharan Africa,Not Available,62.9,54.8,21.7,8.9,2.8,24.1,10.3,270.9,37.3,128,47
Croatia,Europe & Central Asia,High income,78.6,68.6,16.1,16.4,8.5,7.9,24.4,-,48.4,4,2.7
Cuba,Latin America & Caribbean,Upper middle income,77.8,67.8,16.6,14.5,6,8.9,24.6,-,39.9,6.8,9.7
Cyprus,Europe & Central Asia,High income,83.1,72.4,8.2,3.6,8.1,5.8,21.8,-,30.8,4.4,1.6
Czechia,Europe & Central Asia,High income,79.1,68.8,14.3,12.2,13.3,5.9,26,-,41.6,3.9,4.1
Democratic People's Republic of Korea,East Asia & Pacific,Low income,72.6,65,23.9,9.4,4.3,24.2,6.8,0.2,26.5,513,4.1
Democratic Republic of the Congo,Sub-Saharan Africa,Low income,62.4,54.1,24,6.7,2.1,34.9,6.7,318.3,34.3,318,52.3
Denmark,Europe & Central Asia,High income,81.3,71,10.8,10.7,9.4,3.7,19.7,-,35.9,3.8,4.1
Djibouti,Middle East & North Africa,Lower middle income,65.8,58,22,9.6,0.4,23.5,13.5,70.5,34.2,204,37.6
Dominica,Latin America & Caribbean,Upper middle income,-,-,-,-,6.1,-,27.9,-,47.7,16,-
Dominican Republic,Latin America & Caribbean,Upper middle income,72.8,64,19.1,4.9,6.8,64.6,27.6,0.1,49.1,45,5.8
Ecuador,Latin America & Caribbean,Upper middle income,78.4,68.5,11,7.6,3.3,20.1,19.9,4.2,27.2,48,4.7
Egypt,Middle East & North Africa,Lower middle income,71.8,63,28,3,0.1,10.1,32,-,38.2,10,4.8
